"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","DocType","GRS_GEN33-2022_ADMINSP;GRS_GEN33-2022_JUDGESSP;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","פיסיקה (541)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-541ug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","מתמטיקה (530)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-530ug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","כימיה (560)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-560ug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","ביוטכנולוגיה (890)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-890ug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","פיסיקה יישומית (511)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci19-2018_judges-511ug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","מדעי החיים","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-lifeug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","מדעי כדור הארץ","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-earthug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","מדעי הסביבה (591)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-591ug;","System.Object[]","System.Object[]"
"GRS_GEN33-2022","https://grs.ekmd.huji.ac.il/home/General/GEN33-2022","https://grs2.ekmd.huji.ac.il/home/natureScience/SCI25-2021/","ביו-הנדסה (582)","EKMD\sharepoint_temp_editorsug;EKMD\grs_sci17-2017_judges-582ug;","System.Object[]","System.Object[]"
